,listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,permit_Value,units_or_size
319,Cogswell District,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1316446573458138056199625.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/17/cogswell-district-3/,Halifax Regional Municiaplity development blog,,
320,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
321,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
322,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
323,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
324,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
325,Mount Hope Village,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231208_122935.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/09/mount-hope-village/,Halifax Regional Municiaplity development blog,,
326,Shannex at Opalridge,"131 Opalridge Drive, Dartmouth",Shannex Developments,$12.8 M,6,176,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240301_1353035805062013724619778.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/02/shannex-at-opalridge-2/,Halifax Regional Municiaplity development blog,,
327,Shannex at Opalridge,"131 Opalridge Drive, Dartmouth",Shannex Developments,$12.8 M,6,176,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1352231212945480268045036.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/27/shannex-at-opalridge/,Halifax Regional Municiaplity development blog,,
328,189 Opalridge Drive,"189 Opalridge Drive, Dartmouth",Shannex Developments,-1,6,-1,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240105_1435365215894790397934.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/07/opal-ridge-2/,Halifax Regional Municiaplity development blog,,
329,Opal Ridge,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
330,-1,-1,-1,,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,-1,
331,Nov 26/23 Permits,-1,-1,,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_140942.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/26/nov-26-23-development-permits/,Halifax Regional Municiaplity development blog,-1,
332,15 Farringdon Way,"15 Farringdon Way, Bedford",Unknown,$8.8 M,4,40,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_1545512040127337559902179.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/23/15-farringdon-way/,Halifax Regional Municiaplity development blog,,
333,The Rooks of West Bedford,"Rooksview Lane, Bedford",-1,-1,14,-1,0,https://halifaxdevelopments.files.wordpress.com/2023/12/20231225_1259372691453423709611985.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/27/the-rooks-of-west-bedford-2/,Halifax Regional Municiaplity development blog,,
334,The Rooks Of West Bedford,"Rooksview Lane, Bedford",-1,-1,15,-1,0,https://halifaxdevelopments.files.wordpress.com/2023/12/20231217_130648542243888457063391.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/19/the-rooks-of-west-bedford/,Halifax Regional Municiaplity development blog,,
335,Dec 17 / 23 Permits,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231217_130823309728207014457356.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/17/dec-17-23-permits/,Halifax Regional Municiaplity development blog,,
