,listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,permit_Value,units_or_size
58,The Finch,"22 Dawson Street, Dartmouth",Unknown,-1,6,-1,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240111_1418416026558082749555610.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/13/the-finch-2/,Halifax Regional Municiaplity development blog,,
59,The Finch,"22 Dawson Street, Dartmouth",-1,$19.8M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231207_142035.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/08/the-finch/,Halifax Regional Municiaplity development blog,,
60,The Governor,1441 Hollis Street (@ Bishop),Killiam REIT,-1,6,12,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_142410.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/28/the-governor-3/,Halifax Regional Municiaplity development blog,,
61,The Governor,1451 Hollis,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
62,The Governor,1453 Hollis,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
63,Governor’s Plaza,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
64,The Governor,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
65,Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,$14.7 M,5,72,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1358326081553109676460866.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/13/greenfield-estates-2/,Halifax Regional Municiaplity development blog,,
66,Greenfield Estates,"330 Broad Street, Bedford",Parkers Brook Homes,$14.7 M,5,72,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_1557222196661337376985748.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/21/greenfield-estates/,Halifax Regional Municiaplity development blog,,
67,The Interchange,"3500 Joseph Howe Drive, Halifax",Banc Group,$42.8 M,13,324,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240309_1658404129067783173959433.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/10/the-interchange-3/,Halifax Regional Municiaplity development blog,,
68,The Interchange,"3514 Joseph Howe Drive, Halifax",Banc Group,-1,12,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1404314000074533781686775.jpg?w=1024,-1,Halifax Regional Municiaplity development blog,,
69,The Interchange,3512 Joe Howe,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
70,The Interchange,3514 Joseph Howe,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
71,I.W.K. Emergency Department,"University Avenue, Halifax",-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1433134561585514962240691.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/i-w-k-emergency-department/,Halifax Regional Municiaplity development blog,,
72,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1407427466796153839777738.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/23/the-kevel-at-kings-wharf-5/,Halifax Regional Municiaplity development blog,,
73,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240202_1346143083050734952697534.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/03/the-kevel-at-kings-wharf-4/,Halifax Regional Municiaplity development blog,,
74,The Kevel at King’s Wharf,"16 King’s Wharf Place, Dartmouth",The Anchorage,$47.5M,27,220,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1330113055701680847522353.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/the-kevel-at-kings-wharf-3/,Halifax Regional Municiaplity development blog,,
75,The Kevel at King’s Wharf,26 King’s Wharf Place,The Anchorage,-1,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240105_1414026749130675030844544.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/06/the-kevel-at-kings-wharf-2/,Halifax Regional Municiaplity development blog,,
76,The Kevel – King’s Wharf,26 King’s Wharf Place,The Anchorage,-1,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231221_1413386791905090448223827.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/23/kings-wharf-8/,Halifax Regional Municiaplity development blog,,
77,The Kevel at King’s Wharf,26 King’s Wharf Place,The Anchorage,Building permit submitted for 15 floors / 95 units for Building ‘F’.,27,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_132551.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/the-kevel-at-kings-wharf/,Halifax Regional Municiaplity development blog,,
78,Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240316_1313004357374162925119876.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/17/lancaster-villas-4/,Halifax Regional Municiaplity development blog,44.0M,
79,Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240208_1432357509471757774370073.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/lancaster-villas-3/,Halifax Regional Municiaplity development blog,44.0M,
80,Lancaster Villas,"4 & 6 Lancaster Drive, Dartmouth",Baker Drive Developments,,7,352,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1357433038781477115452661.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/11/lancaster-villas-2/,Halifax Regional Municiaplity development blog,-1,
81,Lancaster Villas,-1,Baker Drive Developments,,8,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231206_140924.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/07/lancaster-villas/,Halifax Regional Municiaplity development blog,-1,
82,Lock Suites,"1120 Wellington Street, Halifax",Banc Group,$13 M,9,101,0,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1509113797612948817436977.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/18/lock-suites-2/,Halifax Regional Municiaplity development blog,,
83,LOCK SUITES,-1,Banc Group,-1,8,-1,0,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_143059.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/29/lock-suites/,Halifax Regional Municiaplity development blog,,
84,Lock Suites,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
86,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
87,Macara Presidio,"5516 Macara Street, Halifax",Unknown,$12 M,7,60,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240304_1338382323171465402486290.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/05/macara-presidio/,Halifax Regional Municiaplity development blog,,
88,Macara Presidio,Unknown,Unknown,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
89,Macara Presidio,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
90,Main Street Centre,"139 Main Street, Dartmouth",Affirmative Ventures,,6,45,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231223_1551307770724430159723565.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/26/main-street-centre/,Halifax Regional Municiaplity development blog,-1,
91,Main Street Centre,-1,Affirmative Ventures,,6,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240112_1418581340774926210259910.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/14/main-street-centre-2/,Halifax Regional Municiaplity development blog,-1,
92,The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT,,19,291,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1438224771502571708193469.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/18/the-marlstone-2/,Halifax Regional Municiaplity development blog,72.8M,
93,The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT Scotia Square - Brunswick Pedway,,19,291,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231220_1319443040133321719458752.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/21/the-marlstone/,Halifax Regional Municiaplity development blog,72.8M,
94,Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240319_1305446910947272190699499.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/20/maynard-suites-5/,Halifax Regional Municiaplity development blog,$13.4M,
95,Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240130_1356193571827369197319757.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/31/maynard-suites-4/,Halifax Regional Municiaplity development blog,$13.4M,
96,Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,,7,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240107_1405045372561053701369421.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/07/maynard-suites-3/,Halifax Regional Municiaplity development blog,-1,
97,Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings,,7,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231228_1319334454797665305697301.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/29/maynard-suites-2/,Halifax Regional Municiaplity development blog,-1,
98,Maynard Suites,"2562 Maynard Street, Halifax",-1,,7,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_123054.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/05/maynard-suites/,Halifax Regional Municiaplity development blog,-1,
99,Millenia Suites,"2621 Clifton Street, Halifax",Emerald Property Investments,$14M,8,53,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240219_1503428978950191753153292.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/21/millenia-suites-2/,Halifax Regional Municiaplity development blog,,
100,2621 Clifton,"2621 Clifton Street, Halifax",RoMa Developments,$14M,8,53,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240121_1453127893433926344198011.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/24/2621-clifton-6/,Halifax Regional Municiaplity development blog,,
101,Moffatt’s Pharmacy,"190 Portland Street, Dartmouth",-1,-1,7,-1,0,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_133709.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/moffatts-pharmacy/,Halifax Regional Municiaplity development blog,,
102,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
103,The Trinity & Moxy Hotel,"5415 Cogswell Street, Halifax",Templeton Properties,?,21,?,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240223_1339342821958788698941770.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/24/the-trinity-moxy-hotel/,Halifax Regional Municiaplity development blog,,
