listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
The Elmwood,-1,-1,-1,9,75,-1,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_132320.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/26/the-elmwood/,Halifax Regional Municipality development blog,,
Eventide,"1540 Carlton Street, Halifax",Killam REIT,$22.0M,8,55,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240406_1434346947907304037286062.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/08/eventide/,Halifax Regional Municipality development blog,,
Dec 31/23 Permits,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1441013840722544762598587.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/dec-31-23-permits/,Halifax Regional Municipality development blog,,
Marco | Builders of Atlantic Canada,-1,Marco Group and Killam REIT,-1,-1,65 units in 6 floors,-1,-1,https://halifaxdevelopments.ca/2022/06/14/marco-builders-of-atlantic-canada/,Halifax Regional Municipality development blog,,
The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6 M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240420_1538004959473901590456560.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/22/the-fairway-5/,Halifax Regional Municipality development blog,,
The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6 M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240309_1657352435729705691873626.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/10/the-fairway-4/,Halifax Regional Municipality development blog,,
The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6 M,8,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1412495934711898135302557.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/29/the-fairway-3/,Halifax Regional Municipality development blog,,
The Fairway,-1,Kingsbrook Properties,$26.6M,8,148,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1540288795875992270578634.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/01/the-fairway-2/,Halifax Regional Municipality development blog,,
The Fairway,"3539 Joseph Howe Drive, Halifax",Kingsbrook Properties,$26.6M,8,148,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_140805541566227716588973.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/16/the-fairway/,Halifax Regional Municipality development blog,,
The Finch,"22 Dawson Street, Dartmouth",Unknown,$19.8 M,7,,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240319_1417381359833884709685680.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/21/the-finch-5/,Halifax Regional Municipality development blog,110,
